* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
259.643534 0.000 132.8042
260.009744 0.000 133.0072
260.375955 -0.000 133.2102
260.742166 -0.000 133.4126
261.108377 -0.000 133.6152
261.474588 0.000 133.8180
261.840799 0.000 134.0208
262.207010 -0.000 134.2237
262.573221 -0.000 134.4262
262.939432 -0.000 134.6284
263.305643 0.000 134.8310
263.671854 0.000 135.0337
264.038064 0.000 135.2364
264.404275 -0.000 135.4390
264.770486 -0.000 135.6411
265.136697 -0.000 135.8433
265.502908 0.000 136.0457
265.869119 0.000 136.2482
266.235330 -0.000 136.4508
266.601541 -0.000 136.6528
266.967752 -0.000 136.8548
267.333963 0.000 137.0570
267.700174 0.000 137.2592
268.066384 0.000 137.4615
268.432595 -0.000 137.6637
268.798806 -0.000 137.8654
269.165017 -0.000 138.0672
269.531228 0.000 138.2692
269.897439 0.000 138.4713
270.263650 -0.000 138.6734
270.629861 -0.000 138.8750
270.996072 -0.000 139.0765
271.362283 0.000 139.2783
271.728494 0.000 139.4800
272.094704 0.000 139.6819
272.460915 -0.000 139.8836
272.827126 -0.000 140.0848
273.193337 -0.000 140.2862
273.559548 0.000 140.4877
273.925759 0.000 140.6893
274.291970 -0.000 140.8909
274.658181 -0.000 141.0920
275.024392 -0.000 141.2930
275.390603 0.000 141.4943
275.756814 0.000 141.6955
276.123024 0.000 141.8969
276.489235 -0.000 142.0980
276.855446 -0.000 142.2986
277.221657 -0.000 142.4995
277.587868 0.000 142.7005
277.954079 0.000 142.9015
278.320290 -0.000 143.1026
278.686501 -0.000 143.3030
279.052712 -0.000 143.5035
279.418923 0.000 143.7042
279.785134 0.000 143.9048
280.151344 0.000 144.1057
280.517555 -0.000 144.3061
280.883766 -0.000 144.5061
281.249977 -0.000 144.7065
281.616188 0.000 144.9068
281.982399 0.000 145.1072
282.348610 -0.000 145.3076
282.714821 -0.000 145.5074
283.081032 -0.000 145.7073
283.447243 0.000 145.9073
283.813453 0.000 146.1073
284.179664 0.000 146.3075
284.545875 -0.000 146.5072
284.912086 -0.000 146.7066
285.278297 -0.000 146.9062
285.644508 0.000 147.1059
286.010719 0.000 147.3057
286.376930 -0.000 147.5053
286.743141 -0.000 147.7044
287.109352 -0.000 147.9036
287.475563 0.000 148.1029
287.841773 0.000 148.3022
288.207984 0.000 148.5016
288.574195 -0.000 148.7006
288.940406 -0.000 148.8993
289.306617 -0.000 149.0982
289.672828 0.000 149.2971
290.039039 0.000 149.4961
290.405250 -0.000 149.6950
290.771461 -0.000 149.8934
291.137672 -0.000 150.0918
291.503883 0.000 150.2903
291.870093 0.000 150.4888
292.236304 0.000 150.6875
292.602515 -0.000 150.8856
292.968726 -0.000 151.0835
293.334937 -0.000 151.2816
293.701148 0.000 151.4797
294.067359 0.000 151.6779
294.433570 -0.000 151.8760
294.799781 -0.000 152.0735
295.165992 -0.000 152.2711
295.532203 0.000 152.4687
295.898413 0.000 152.6665
296.264624 0.000 152.8643
296.630835 -0.000 153.0615
296.997046 -0.000 153.2586
297.363257 0.000 153.4558
297.729468 0.000 153.6530
298.095679 0.000 153.8504
298.461890 -0.000 154.0475
298.828101 -0.000 154.2441
299.194312 -0.000 154.4408
299.560523 0.000 154.6376
299.926733 0.000 154.8344
300.292944 0.000 155.0313
300.659155 -0.000 155.2276
301.025366 -0.000 155.4238
301.391577 0.000 155.6201
301.757788 0.000 155.8163
302.123999 0.000 156.0128
302.490210 -0.000 156.2089
302.856421 -0.000 156.4046
303.222632 -0.000 156.6004
303.588843 0.000 156.7961
303.955053 0.000 156.9921
304.321264 0.000 157.1879
304.687475 -0.000 157.3832
305.053686 -0.000 157.5784
305.419897 0.000 157.7737
305.786108 0.000 157.9690
306.152319 0.000 158.1645
306.518530 -0.000 158.3596
306.884741 -0.000 158.5543
307.250952 -0.000 158.7490
307.617162 0.000 158.9438
307.983373 0.000 159.1387
